id_siswa,id_buku,tanggal_baca,durasi_menit,halaman_selesai
2015019,112,2025-09-01,25,16
2015027,101,2025-09-01,5,3
2016021,101,2025-09-01,16,10
2016029,103,2025-09-01,23,15
2015075,103,2025-09-01,6,4
2015020,108,2025-09-01,16,10
2016008,101,2025-09-01,5,3
2015005,102,2025-09-01,22,14
2016057,103,2025-09-01,16,10
2015038,105,2025-09-01,5,3
2016025,108,2025-09-01,5,3
2015028,108,2025-09-01,6,4
2016036,101,2025-09-01,29,19
2014016,107,2025-09-01,48,32
2016010,112,2025-09-01,32,21
2016072,103,2025-09-01,18,12
2014032,105,2025-09-01,5,3
2015064,112,2025-09-01,31,20
2014039,105,2025-09-01,5,3
2016044,101,2025-09-01,43,28
2016069,103,2025-09-01,19,12
2016015,103,2025-09-01,5,3
2016018,112,2025-09-01,17,11
2014017,109,2025-09-01,40,26
2016031,109,2025-09-01,10,6
2014012,106,2025-09-01,23,15
2014009,111,2025-09-01,8,5
2014059,109,2025-09-01,34,22
2014051,111,2025-09-01,11,7
2015040,102,2025-09-01,5,3
2014046,109,2025-09-01,25,16
2016049,112,2025-09-01,13,8
2016084,102,2025-09-01,17,11
2016070,112,2025-09-01,24,16
2014041,106,2025-09-01,5,3
2014087,108,2025-09-01,16,10
2014024,110,2025-09-01,12,8
2016088,112,2025-09-01,15,10
2016071,102,2025-09-01,29,19
2016023,112,2025-09-01,28,18
2016022,101,2025-09-01,5,3
2016048,101,2025-09-01,18,12
2014047,109,2025-09-01,24,16
2014056,109,2025-09-01,5,3
2015013,107,2025-09-01,5,3
2015090,106,2025-09-01,10,6
2016073,102,2025-09-01,39,26
2015004,104,2025-09-01,24,16
2014074,109,2025-09-01,8,5
2014065,104,2025-09-01,21,14
2016033,105,2025-09-01,32,21
2016085,111,2025-09-01,11,7
2016001,112,2025-09-01,24,16
2014058,108,2025-09-01,26,17
2015064,109,2025-09-02,64,42
2015063,112,2025-09-02,18,12
2015019,107,2025-09-02,33,22
2014024,108,2025-09-02,47,31
2016022,102,2025-09-02,59,39
2014077,105,2025-09-02,29,19
2016048,101,2025-09-02,41,27
2016049,112,2025-09-02,34,22
2014074,111,2025-09-02,65,43
2014052,109,2025-09-02,45,30
2014030,109,2025-09-02,55,36
2016070,102,2025-09-02,16,10
2016060,101,2025-09-02,8,5
2016001,101,2025-09-02,57,38
2014006,110,2025-09-02,24,16
2016018,112,2025-09-02,51,34
2014065,104,2025-09-02,51,34
2016057,112,2025-09-02,34,22
2014058,108,2025-09-02,32,21
2016078,103,2025-09-02,7,4
2014046,105,2025-09-02,38,25
2016088,101,2025-09-02,40,26
2014017,109,2025-09-02,33,22
2016029,103,2025-09-02,53,35
2014079,106,2025-09-02,47,31
2016073,112,2025-09-02,42,28
2016044,112,2025-09-02,39,26
2015068,112,2025-09-02,77,51
2016025,105,2025-09-02,46,30
2016062,101,2025-09-02,52,34
2014009,110,2025-09-02,11,7
2014059,109,2025-09-02,58,38
2015028,101,2025-09-02,50,33
2016067,101,2025-09-02,81,54
2015035,104,2025-09-02,51,34
2016034,103,2025-09-02,40,26
2016089,112,2025-09-02,31,20
2014047,104,2025-09-02,29,19
2015075,107,2025-09-02,26,17
2016055,112,2025-09-02,45,30
2016061,102,2025-09-02,63,42
2014016,106,2025-09-02,41,27
2016081,102,2025-09-02,32,21
2014054,109,2025-09-02,83,55
2014037,111,2025-09-02,53,35
2014082,108,2025-09-02,61,40
2015005,105,2025-09-02,70,46
2016031,101,2025-09-02,76,50
2016008,112,2025-09-02,43,28
2014050,110,2025-09-02,34,22
2014032,107,2025-09-02,54,36
2016015,101,2025-09-02,40,26
2016083,103,2025-09-02,39,26
2014051,104,2025-09-02,42,28
2014006,106,2025-09-03,57,38
2014087,108,2025-09-03,67,44
2016073,103,2025-09-03,5,3
2015068,102,2025-09-03,41,27
2015028,112,2025-09-03,48,32
2015075,110,2025-09-03,31,20
2014052,104,2025-09-03,48,32
2016014,103,2025-09-03,62,41
2016003,101,2025-09-03,18,12
2014017,108,2025-09-03,49,32
2016055,101,2025-09-03,37,24
2014030,109,2025-09-03,40,26
2016081,112,2025-09-03,57,38
2015020,107,2025-09-03,36,24
2016021,102,2025-09-03,43,28
2014045,106,2025-09-03,34,22
2016061,102,2025-09-03,59,39
2014024,110,2025-09-03,56,37
2014002,106,2025-09-03,70,46
2014059,106,2025-09-03,75,50
2016089,103,2025-09-03,38,25
2015063,111,2025-09-03,5,3
2016022,112,2025-09-03,20,13
2014076,110,2025-09-03,43,28
2016018,101,2025-09-03,28,18
2016010,102,2025-09-03,42,28
2015053,107,2025-09-03,37,24
2016069,105,2025-09-03,49,32
2016057,102,2025-09-03,24,16
2015007,112,2025-09-03,26,17
2014039,106,2025-09-03,56,37
2014051,111,2025-09-03,45,30
2016023,112,2025-09-03,22,14
2014046,104,2025-09-03,51,34
2016060,109,2025-09-03,53,35
2016067,112,2025-09-03,44,29
2016033,102,2025-09-03,51,34
2014058,104,2025-09-03,46,30
2016044,101,2025-09-03,11,7
2014047,106,2025-09-03,37,24
2016086,102,2025-09-03,8,5
2015005,102,2025-09-03,57,38
2015013,106,2025-09-03,31,20
